# mass in units of Daltons
# Lasted pulled from https://www.ciaaw.org/atomic-masses.htm on 2020-04-25
Symbol,Element,decays,A,Z,mass,unc
H,hydrogen,False,1,1,1.0078250322,6
H,hydrogen,False,2,1,2.0141017781,8
He,helium,False,3,2,3.016029322,2
He,helium,False,4,2,4.0026032545,4
Li,lithium,False,6,3,6.01512289,1
Li,lithium,False,7,3,7.01600344,3
Be,beryllium,False,9,4,9.0121831,5
B,boron,False,10,5,10.0129369,1
B,boron,False,11,5,11.00930517,8
C,carbon,False,12,6,12.0,exact
C,carbon,False,13,6,13.003354835,2
N,nitrogen,False,14,7,14.003074004,2
N,nitrogen,False,15,7,15.000108899,4
O,oxygen,False,16,8,15.994914619,1
O,oxygen,False,17,8,16.999131757,5
O,oxygen,False,18,8,17.999159613,5
F,fluorine,False,19,9,18.998403163,6
Ne,neon,False,20,10,19.99244018,1
Ne,neon,False,21,10,20.9938467,3
Ne,neon,False,22,10,21.9913851,1
Na,sodium,False,23,11,22.98976928,2
Mg,magnesium,False,24,12,23.9850417,9
Mg,magnesium,False,25,12,24.985837,3
Mg,magnesium,False,26,12,25.982593,2
Al,aluminium,False,27,13,26.9815384,3
Si,silicon,False,28,14,27.976926535,3
Si,silicon,False,29,14,28.976494665,4
Si,silicon,False,30,14,29.9737701,2
P,phosphorous,False,31,15,30.973761998,5
S,sulfur,False,32,16,31.972071174,9
S,sulfur,False,33,16,32.97145891,1
S,sulfur,False,34,16,33.967867,3
S,sulfur,False,36,16,35.967081,2
Cl,chlorine,False,35,17,34.9688527,3
Cl,chlorine,False,37,17,36.9659026,4
Ar,argon,False,36,18,35.9675451,2
Ar,argon,False,38,18,37.962732,2
Ar,argon,False,40,18,39.96238312,2
K,potassium,False,39,19,38.96370649,3
K,potassium,True,40,19,39.9639982,4
K,potassium,False,41,19,40.96182526,3
Ca,calcium,False,40,20,39.9625909,2
Ca,calcium,False,42,20,41.958618,1
Ca,calcium,False,43,20,42.958766,2
Ca,calcium,False,44,20,43.955481,2
Ca,calcium,False,46,20,45.95369,2
Ca,calcium,True,48,20,47.9525229,6
Sc,scandium,False,45,21,44.955908,5
Ti,titanium,False,46,22,45.952627,1
Ti,titanium,False,47,22,46.9517577,8
Ti,titanium,False,48,22,47.9479409,8
Ti,titanium,False,49,22,48.9478646,8
Ti,titanium,False,50,22,49.9447858,8
V,vanadium,True,50,23,49.947156,3
V,vanadium,False,51,23,50.943957,3
Cr,chromium,False,50,24,49.946041,3
Cr,chromium,False,52,24,51.940505,3
Cr,chromium,False,53,24,52.940647,3
Cr,chromium,False,54,24,53.938878,3
Mn,manganese,False,55,25,54.938043,2
Fe,iron,False,54,26,53.939608,3
Fe,iron,False,56,26,55.934936,2
Fe,iron,False,57,26,56.935392,2
Fe,iron,False,58,26,57.933274,3
Co,cobalt,False,59,27,58.933194,3
Ni,nickel,False,58,28,57.935342,3
Ni,nickel,False,60,28,59.930785,3
Ni,nickel,False,61,28,60.931055,3
Ni,nickel,False,62,28,61.928345,3
Ni,nickel,False,64,28,63.927966,3
Cu,copper,False,63,29,62.929597,3
Cu,copper,False,65,29,64.92779,5
Zn,zinc,False,64,30,63.929142,5
Zn,zinc,False,66,30,65.926034,5
Zn,zinc,False,67,30,66.927127,5
Zn,zinc,False,68,30,67.924844,5
Zn,zinc,False,70,30,69.92532,2
Ga,gallium,False,69,31,68.925573,8
Ga,gallium,False,71,31,70.924702,6
Ge,germanium,False,70,32,69.924249,6
Ge,germanium,False,72,32,71.9220758,5
Ge,germanium,False,73,32,72.923459,4
Ge,germanium,False,74,32,73.92117776,8
Ge,germanium,True,76,32,75.9214027,1
As,arsenic,False,75,33,74.921595,6
Se,selenium,False,74,34,73.9224759,1
Se,selenium,False,76,34,75.9192137,1
Se,selenium,False,77,34,76.9199141,5
Se,selenium,False,78,34,77.917309,1
Se,selenium,False,80,34,79.916522,6
Se,selenium,True,82,34,81.916699,3
Br,bromine,False,79,35,78.918338,7
