Mp (Mj), Rp (Rj), Mdots (g/s), Rsp (Rp), RXUV (Rp), cond
8.58191e+29,5.00684e+09,8.65e+10,0.30,4.82,1.42,0
2.65383e+30,1.21504e+10,2.35e+11,0.30,3.61,1.42,0
4.13802e+29,1.31709e+10,4.75e+12,0.33,2.31,1.43,0
1.54898e+29,6.28246e+09,1.80e+12,0.33,2.86,1.61,0
3.46536e+29,6.79272e+09,9.96e+11,0.33,1.88,1.21,0
1.09357e+30,5.00684e+09,3.19e+10,0.30,6.36,1.42,0
6.47785e+29,2.96583e+09,1.03e+10,0.30,8.94,1.42,0
5.01888e+29,3.73121e+09,1.02e+11,0.30,3.88,1.42,0
5.15737e+29,1.01093e+10,1.92e+12,0.32,1.83,1.20,0
1.36337e+30,1.29157e+10,8.33e+11,0.37,2.15,1.09,0
4.14943e+29,1.03645e+10,2.42e+12,0.32,1.93,1.28,0
4.25157e+29,1.06196e+10,2.52e+12,0.32,1.94,1.28,0
8.79377e+29,6.53759e+09,2.80e+11,0.30,3.11,1.42,0
1.01665e+30,7.55809e+09,3.64e+11,0.30,2.94,1.42,0
9.68759e+28,5.00684e+09,2.13e+12,0.33,3.97,2.05,0
2.77670e+28,1.43508e+09,2.70e+11,0.33,4.16,2.04,0
3.49678e+29,1.11298e+10,3.36e+12,0.33,2.23,1.40,0
1.06749e+29,5.51709e+09,2.53e+12,0.33,3.96,2.06,0
8.58575e+29,1.03645e+10,1.28e+12,0.36,1.97,1.11,0
1.42845e+30,1.06196e+10,6.78e+11,0.30,2.58,1.42,0
8.20668e+28,4.24146e+09,1.57e+12,0.33,3.97,2.03,0
1.20803e+30,7.04784e+09,1.70e+11,0.30,3.98,1.42,0
1.51413e+30,8.83372e+09,2.67e+11,0.30,3.52,1.42,0
2.68123e+29,1.08747e+10,5.79e+12,0.33,3.17,1.74,0
1.25565e+30,1.18952e+10,7.14e+11,0.37,2.21,1.09,0
6.06845e+29,1.18952e+10,2.54e+12,0.32,1.81,1.21,0
6.83273e+29,3.98634e+09,5.53e+10,0.30,5.48,1.42,0
9.00844e+29,1.08747e+10,1.39e+12,0.36,1.95,1.11,0
2.31092e+29,5.77221e+09,8.92e+11,0.33,2.01,1.28,0
1.42667e+30,8.32347e+09,2.37e+11,0.30,3.64,1.42,0
1.17156e+29,4.75171e+09,1.13e+12,0.33,2.89,1.62,0
2.66819e+29,3.22096e+09,1.89e+11,0.38,2.23,1.13,0
8.72798e+29,1.34260e+10,2.66e+12,0.32,1.79,1.15,0
9.19395e+28,4.75171e+09,1.90e+12,0.33,3.94,2.04,0
1.57305e+29,5.00684e+09,8.80e+11,0.33,2.33,1.40,0
6.73474e+29,5.00684e+09,1.74e+11,0.30,3.45,1.42,0
2.37460e+29,7.55809e+09,1.72e+12,0.33,2.25,1.39,0
6.04965e+29,7.30297e+09,7.19e+11,0.36,2.06,1.12,0
9.26402e+29,4.24146e+09,2.23e+10,0.30,7.08,1.42,0
3.74087e+29,9.34397e+09,1.98e+12,0.32,1.92,1.27,0
2.51520e+29,6.28246e+09,1.03e+12,0.33,2.00,1.28,0
