Mp (Mj), Rp (Rj), Mdots (g/s), Rsp (Rp), RXUV (Rp), cond
2.16382e+29,4.24146e+09,1.68e+10,0.36,3.97,1.25,0
1.14792e+30,1.08747e+10,3.98e+10,0.37,3.19,1.10,0
6.57190e+29,1.01093e+10,6.65e+10,0.36,2.84,1.19,0
1.17485e+30,1.11298e+10,4.18e+10,0.37,3.15,1.10,0
2.20878e+29,5.51709e+09,4.32e+10,0.35,3.44,1.36,0
2.05398e+29,6.53759e+09,9.56e+10,0.34,3.29,1.54,0
3.33647e+29,1.06196e+10,3.09e+11,0.30,2.85,1.59,0
3.72567e+29,7.30297e+09,5.02e+10,0.36,3.14,1.26,0
3.02590e+29,7.55809e+09,8.21e+10,0.35,3.08,1.38,0
3.75241e+29,5.77221e+09,2.18e+10,0.37,3.71,1.19,0
1.61148e+29,1.94533e+09,1.73e+09,0.37,7.52,1.14,0
4.20896e+29,2.45558e+09,1.76e+08,0.34,11.05,1.10,0
2.13414e+29,6.79272e+09,1.05e+11,0.34,3.25,1.54,0
3.69168e+29,1.69021e+09,1.33e+07,0.34,16.31,1.10,0
1.98515e+30,9.08884e+09,1.07e+09,0.34,5.22,1.10,0
5.41094e+29,8.32347e+09,4.44e+10,0.36,3.11,1.18,0
4.91338e+29,7.55809e+09,3.65e+10,0.36,3.25,1.18,0
3.89755e+29,1.24055e+10,5.42e+11,0.29,2.80,1.68,0
2.59810e+30,1.18952e+10,2.39e+09,0.34,4.35,1.10,0
4.55799e+29,1.13850e+10,1.81e+11,0.34,2.61,1.38,0
1.60159e+30,9.34397e+09,4.63e+09,0.34,4.54,1.10,0
9.05546e+29,8.57859e+09,2.38e+10,0.37,3.68,1.10,0
9.22554e+29,1.41914e+10,1.38e+11,0.36,2.45,1.20,0
1.66867e+30,1.24055e+10,2.53e+10,0.34,3.33,1.10,0
2.61668e+29,1.94533e+09,3.85e+08,0.34,10.79,1.10,0
1.47109e+30,1.39362e+10,6.85e+10,0.37,2.77,1.11,0
1.90351e+29,3.73121e+09,1.35e+10,0.36,4.20,1.26,0
1.17227e+29,3.73121e+09,3.19e+10,0.35,3.96,1.51,0
3.13444e+29,1.43508e+09,7.84e+06,0.34,18.25,1.10,0
1.41274e+29,4.49659e+09,4.60e+10,0.35,3.73,1.52,0
5.74264e+29,8.83372e+09,5.03e+10,0.36,3.02,1.18,0
7.40116e+29,1.13850e+10,8.69e+10,0.36,2.70,1.19,0
2.92376e+29,7.30297e+09,7.65e+10,0.35,3.12,1.37,0
7.71305e+28,3.98634e+09,2.85e+11,0.29,5.89,2.96,0
5.08355e+29,2.96583e+09,2.71e+08,0.34,9.75,1.10,0
8.51684e+29,8.06834e+09,2.09e+10,0.37,3.81,1.10,0
2.02249e+29,1.17996e+09,3.03e+07,0.34,18.04,1.10,0
2.03416e+29,2.45558e+09,2.77e+09,0.37,6.61,1.14,0
6.05438e+28,2.45558e+09,2.95e+10,0.34,4.88,1.84,0
8.57049e+28,3.47608e+09,5.60e+10,0.34,4.40,1.85,0
1.80594e+30,1.34260e+10,3.07e+10,0.34,3.17,1.10,0
1.60004e+30,1.18952e+10,2.28e+10,0.34,3.42,1.10,0
7.74039e+29,9.34397e+09,4.11e+10,0.37,3.16,1.14,0
2.29397e+29,4.49659e+09,1.89e+10,0.36,3.87,1.25,0
2.75730e+29,4.24146e+09,1.17e+10,0.37,4.33,1.18,0
2.47618e+30,1.44465e+10,1.58e+10,0.34,3.40,1.10,0
