x, y
37065006198.34787, 2.064309317184613e-12
37822470969.615524, 1.983034192507163e-13
38057770241.313324, 2.3863507733815256e-14
38491547574.176636, 7.345540271846903e-15
38564079662.55506, 2.7604616391753777e-15
40021716537.2721, 1.2296125270168158e-15
42579298476.88471, 5.325736793089265e-16
46609898805.18648, 3.119217338481942e-16
52176382737.33975, 1.930277529856934e-16
58418395438.00057, 1.3582525593892256e-16
74159703419.7561, 6.694389826731907e-17
95240342720.81209, 2.9667731583632806e-17
125182086369.4704, 1.587694076421919e-17
163682741631.63968, 7.499133640211962e-18
212881812428.29852, 4.147369833751839e-18
271715176243.8036, 2.121054921565118e-18
353373442610.4273, 1.1484886173702489e-18
462670407513.43616, 5.873619985394494e-19
604900864296.898, 2.920108952394038e-19
784747328621.4209, 1.4793931826751227e-19
889858129078.595, 9.374584819139138e-20
