x, y
37110066847.882126, 2.195046576500501e-12
37470786688.59397, 1.0875200610507501e-12
37862735588.259026, 2.763321901444445e-13
38261604521.72895, 2.8366687532445218e-14
38142625144.61954, 1.0782206379582855e-14
38499258903.14557, 4.939843002411167e-15
39007608137.39114, 2.4913294535666187e-15
40481171956.76846, 1.02326070697222e-15
40481171956.76846, 1.02326070697222e-15
42249686614.82269, 6.6047134482659e-16
44437689676.73399, 4.251162519231278e-16
48570455056.50898, 2.800288827897761e-16
52717330583.29046, 2.0538853338667491e-16
57304315365.47667, 1.470878486024444e-16
65408319060.989105, 9.815215919903705e-17
81826252724.32884, 4.9400948993757275e-17
107824385014.68225, 2.2667439491830857e-17
163734496277.51093, 7.677199468305897e-18
234255087768.22607, 3.1102816812282622e-18
501106566140.6104, 4.890383419873417e-19
883224983022.4235, 1.044380043102714e-19
