x, y
37700710537.23164, 1007.1876144065591
37634613242.2759, 1137.5352797283774
37590170221.60163, 1460.4903358928043
37940422145.948074, 1712.934172701811
37940422145.948074, 2090.2359719857327
37769618192.13498, 2568.977109784087
37998883612.22337, 3121.501072934787
37884753109.933754, 3871.6462566539094
37934982891.69505, 4944.388174525646
38152949021.49025, 6387.694121543078
38315878410.529175, 7557.235460813219
38580204787.654366, 8682.487993999659
38995496113.03438, 9599.115155575879
39870924082.92505, 10434.35357117782
40910783739.49204, 11132.316600445325
43275073383.11693, 11956.504594948876
46343364451.73384, 12573.645935530278
50222738821.51822, 13191.755351651847
55050153197.951195, 13584.058763964464
61438313445.62538, 14023.51265510466
73949140821.95259, 14693.197188116856
96037902566.12811, 15456.864493395497
126076197939.52794, 16103.729280637834
168819755635.9781, 16645.3632981755
221083531342.09735, 17062.471152041122
270658488273.14383, 17505.80101252285
357611384239.0833, 17811.640909134363
475162833820.52277, 18106.054666530494
630248495304.025, 18329.719548289
835951088252.3416, 18778.053724617104
965689281544.3945, 18888.15884483897
