x, y
37925686308.824295, 1004.255906936008
37874192318.71572, 1127.203557030537
37908063811.55774, 1297.6971964719287
37931116376.72798, 1655.1276004643244
37935182814.63804, 2145.0779674922155
38170570713.97385, 2756.415437170638
38232038481.20432, 3431.4468320834335
38285395955.18245, 4314.7512701883425
38322378331.862564, 5270.63588774813
38414286412.862595, 6903.757050905223
38924496243.88963, 8822.92853178336
39414690550.47164, 9861.122954511726
40109922393.562065, 10547.506599623386
41151524903.63585, 11159.254653177635
42457876166.65344, 11773.105698965515
44578366241.45924, 12271.265950197529
46918715880.74246, 12758.392012937404
50405925538.12382, 13178.373376912143
55536764562.64132, 13628.135421890005
62129042807.00314, 14140.449176836715
82943769852.09824, 15182.023084508115
109758296346.52893, 15923.220335472333
144026248637.7211, 16467.06300392639
191236366254.10928, 17024.90833323821
255268610488.81113, 17417.889549634998
358501665636.4645, 17828.206956161932
492215194619.83514, 18235.27930204727
651364478904.4031, 18508.347565185763
946829975388.8722, 18964.24688927319
