x, y
38017659288.68721, 997.7375725743783
38017659288.68721, 1429.3267946822962
38017659288.68721, 1952.4883345030341
38017659288.68721, 2463.512675873902
38017659288.68721, 3254.5741364929186
38017659288.68721, 4427.8425864104875
38105175319.72764, 6213.047765941484
38188632840.94675, 8629.302462988218
38368920136.20401, 13073.316836928585
38368920136.20401, 21085.45525578563
38508616107.47576, 35681.83675988786
38767978174.909195, 62328.03350035873
39104412710.10992, 101469.30101525558
40018392358.758026, 226647.2702156592
41918709786.55742, 380371.23721627105
44361014149.0836, 553312.4683900555
49485895575.02691, 778423.07145504
58840911101.96022, 1023383.7706650223
68151328237.86395, 1233958.9383261302
82766115753.65388, 1505946.3011310517
109375387350.60486, 1860732.420636465
144926044497.66818, 2240371.6458286173
209052570774.81436, 2669287.381894909
307995638583.25635, 3167246.404292041
406172064501.9821, 3635052.176219909
612760499457.4363, 4488045.938111792
795034077994.4366, 5337007.230289185
905223829512.6217, 6014052.998001604
