#Planet: 1.1620 Mjup, 1.1380 Rjup, 0.031 au 
#Star: 0.846 Msun, 0.328 Lsun 
#Spectrum: 24170 ergs/s/cm2, hd189733, [0.620,91.165] nm
#HD189733b w/ 10xZ_solar H,He,C,N,O,Ne,MgII,SiII,Ca. Actual HD189733 spectrum.
r,r/Rp,v,T,rho
8326926106.6,1.023,2.12563e-01,1.27740e+03,2.86838e-11
8329367680.9,1.024,4.26449e-01,2.43832e+03,1.42880e-11
8331809255.3,1.024,5.89916e-01,3.28000e+03,1.03225e-11
8334250829.6,1.024,7.31081e-01,3.97172e+03,8.32442e-12
8336692404.0,1.025,8.57983e-01,4.57863e+03,7.08899e-12
8339133978.4,1.025,9.65629e-01,5.06447e+03,6.29503e-12
8341575552.7,1.025,1.02817e+00,5.31588e+03,5.90868e-12
8344017127.1,1.026,1.05189e+00,5.35477e+03,5.77205e-12
8346458701.4,1.026,1.06854e+00,5.36548e+03,5.67875e-12
8348900275.8,1.026,1.08530e+00,5.36632e+03,5.58783e-12
8351341850.1,1.026,1.10218e+00,5.37580e+03,5.49902e-12
8353783424.5,1.027,1.11940e+00,5.37664e+03,5.41128e-12
8356224998.8,1.027,1.13675e+00,5.38605e+03,5.32556e-12
8358666573.2,1.027,1.15444e+00,5.38690e+03,5.24086e-12
8361108147.5,1.028,1.17228e+00,5.39625e+03,5.15811e-12
8363549721.9,1.028,1.19047e+00,5.39712e+03,5.07634e-12
8365991296.2,1.028,1.20880e+00,5.40641e+03,4.99645e-12
8368432870.6,1.029,1.22749e+00,5.40730e+03,4.91749e-12
8370874444.9,1.029,1.24632e+00,5.41652e+03,4.84035e-12
8373316019.3,1.029,1.26553e+00,5.41744e+03,4.76410e-12
8375757593.6,1.029,1.28489e+00,5.42660e+03,4.68960e-12
8378199168.0,1.030,1.30463e+00,5.42754e+03,4.61595e-12
8380640742.3,1.030,1.32451e+00,5.43663e+03,4.54401e-12
8383082316.7,1.030,1.34480e+00,5.43760e+03,4.47287e-12
8385523891.0,1.031,1.36522e+00,5.44664e+03,4.40337e-12
8387965465.4,1.031,1.38606e+00,5.44764e+03,4.33464e-12
8390407039.7,1.031,1.40705e+00,5.45661e+03,4.26750e-12
8392848614.1,1.032,1.42846e+00,5.45765e+03,4.20109e-12
8395290188.4,1.032,1.45002e+00,5.46656e+03,4.13622e-12
8397731762.8,1.032,1.47201e+00,5.46763e+03,4.07206e-12
8400173337.1,1.032,1.49416e+00,5.47647e+03,4.00937e-12
8402614911.5,1.033,1.51675e+00,5.47758e+03,3.94736e-12
8405056485.8,1.033,1.53949e+00,5.48637e+03,3.88678e-12
8407498060.2,1.033,1.56270e+00,5.48752e+03,3.82684e-12
8409939634.5,1.034,1.58606e+00,5.49624e+03,3.76829e-12
8412381208.9,1.034,1.60989e+00,5.49743e+03,3.71036e-12
8414822783.2,1.034,1.63388e+00,5.50608e+03,3.65376e-12
8417264357.6,1.035,1.65835e+00,5.50733e+03,3.59775e-12
8419705932.0,1.035,1.68299e+00,5.51591e+03,3.54303e-12
8422147506.3,1.035,1.70812e+00,5.51720e+03,3.48888e-12
8424589080.7,1.035,1.73341e+00,5.52573e+03,3.43597e-12
8427030655.0,1.036,1.75922e+00,5.52707e+03,3.38362e-12
8429472229.4,1.036,1.78519e+00,5.53552e+03,3.33246e-12
8431913803.7,1.036,1.81168e+00,5.53692e+03,3.28182e-12
8434355378.1,1.037,1.83834e+00,5.54531e+03,3.23235e-12
8436796952.4,1.037,1.86554e+00,5.54675e+03,3.18338e-12
8439238526.8,1.037,1.89292e+00,5.55508e+03,3.13553e-12
8441680101.1,1.038,1.92084e+00,5.55658e+03,3.08817e-12
8444121675.5,1.038,1.94894e+00,5.56483e+03,3.04188e-12
8446563249.8,1.038,1.97760e+00,5.56640e+03,2.99607e-12
8449004824.2,1.038,2.00644e+00,5.57458e+03,2.95129e-12
8451446398.5,1.039,2.03585e+00,5.57620e+03,2.90697e-12
8453887972.9,1.039,2.06546e+00,5.58432e+03,2.86365e-12
8456329547.2,1.039,2.09565e+00,5.58600e+03,2.82077e-12
8458771121.6,1.040,2.12603e+00,5.59405e+03,2.77885e-12
8461212695.9,1.040,2.15701e+00,5.59580e+03,2.73736e-12
8463654270.3,1.040,2.18819e+00,5.60377e+03,2.69680e-12
8466095844.6,1.041,2.21998e+00,5.60558e+03,2.65665e-12
8468537419.0,1.041,2.25197e+00,5.61349e+03,2.61739e-12
8470978993.3,1.041,2.28459e+00,5.61537e+03,2.57853e-12
8473420567.7,1.041,2.31742e+00,5.62320e+03,2.54054e-12
8475862142.0,1.042,2.35089e+00,5.62514e+03,2.50293e-12
8478303716.4,1.042,2.38457e+00,5.63290e+03,2.46616e-12
8480745290.7,1.042,2.41891e+00,5.63492e+03,2.42975e-12
8483186865.1,1.043,2.45346e+00,5.64260e+03,2.39416e-12
8485628439.4,1.043,2.48868e+00,5.64469e+03,2.35891e-12
8488070013.8,1.043,2.52413e+00,5.65230e+03,2.32445e-12
8490511588.1,1.044,2.56026e+00,5.65446e+03,2.29033e-12
8492953162.5,1.044,2.59662e+00,5.66199e+03,2.25696e-12
8495394736.8,1.044,2.63367e+00,5.66422e+03,2.22392e-12
8497836311.2,1.045,2.67097e+00,5.67169e+03,2.19161e-12
8500277885.6,1.045,2.70897e+00,5.67399e+03,2.15962e-12
8502719459.9,1.045,2.74722e+00,5.68138e+03,2.12833e-12
8505161034.3,1.045,2.78620e+00,5.68375e+03,2.09736e-12
8507602608.6,1.046,2.82542e+00,5.69106e+03,2.06705e-12
8510044183.0,1.046,2.86539e+00,5.69352e+03,2.03705e-12
8512485757.3,1.046,2.90561e+00,5.70075e+03,2.00770e-12
8514927331.7,1.047,2.94659e+00,5.70328e+03,1.97864e-12
8517368906.0,1.047,2.98784e+00,5.71043e+03,1.95021e-12
8519810480.4,1.047,3.02985e+00,5.71304e+03,1.92206e-12
8522252054.7,1.048,3.07214e+00,5.72012e+03,1.89452e-12
8524693629.1,1.048,3.11522e+00,5.72280e+03,1.86725e-12
8527135203.4,1.048,3.15857e+00,5.72980e+03,1.84056e-12
8529576777.8,1.048,3.20273e+00,5.73256e+03,1.81415e-12
8532018352.1,1.049,3.24718e+00,5.73949e+03,1.78829e-12
8534459926.5,1.049,3.29244e+00,5.74232e+03,1.76270e-12
8536901500.8,1.049,3.33800e+00,5.74917e+03,1.73765e-12
8539343075.2,1.050,3.38439e+00,5.75207e+03,1.71285e-12
8541784649.5,1.050,3.43110e+00,5.75885e+03,1.68857e-12
8544226223.9,1.050,3.47864e+00,5.76183e+03,1.66454e-12
8546667798.2,1.051,3.52651e+00,5.76853e+03,1.64101e-12
8549109372.6,1.051,3.57523e+00,5.77159e+03,1.61772e-12
8551550946.9,1.051,3.62429e+00,5.77821e+03,1.59491e-12
8553992521.3,1.051,3.67421e+00,5.78134e+03,1.57234e-12
8556434095.6,1.052,3.72449e+00,5.78789e+03,1.55023e-12
8558875670.0,1.052,3.77564e+00,5.79109e+03,1.52836e-12
8561317244.3,1.052,3.82716e+00,5.79757e+03,1.50692e-12
8563758818.7,1.053,3.87957e+00,5.80085e+03,1.48572e-12
8566200393.0,1.053,3.93236e+00,5.80725e+03,1.46494e-12
8568641967.4,1.053,3.98605e+00,5.81060e+03,1.44438e-12
8571083541.7,1.054,4.04014e+00,5.81693e+03,1.42423e-12
8573525116.1,1.054,4.09513e+00,5.82034e+03,1.40430e-12
8575966690.4,1.054,4.15055e+00,5.82661e+03,1.38477e-12
8578408264.8,1.054,4.20688e+00,5.83009e+03,1.36545e-12
8580849839.2,1.055,4.26365e+00,5.83628e+03,1.34650e-12
8583291413.5,1.055,4.32135e+00,5.83983e+03,1.32776e-12
8585732987.9,1.055,4.37950e+00,5.84596e+03,1.30939e-12
8588174562.2,1.056,4.43860e+00,5.84958e+03,1.29122e-12
8590616136.6,1.056,4.49816e+00,5.85563e+03,1.27340e-12
8593057710.9,1.056,4.55868e+00,5.85931e+03,1.25578e-12
8595499285.3,1.057,4.61968e+00,5.86531e+03,1.23850e-12
8597940859.6,1.057,4.68165e+00,5.86905e+03,1.22141e-12
8600382434.0,1.057,4.74412e+00,5.87498e+03,1.20464e-12
8602824008.3,1.057,4.80758e+00,5.87879e+03,1.18806e-12
8605265582.7,1.058,4.87156e+00,5.88465e+03,1.17180e-12
8607707157.0,1.058,4.93652e+00,5.88852e+03,1.15572e-12
8610148731.4,1.058,5.00204e+00,5.89432e+03,1.13993e-12
8612590305.7,1.059,5.06855e+00,5.89825e+03,1.12434e-12
8615031880.1,1.059,5.13563e+00,5.90400e+03,1.10902e-12
8617473454.4,1.059,5.20372e+00,5.90797e+03,1.09389e-12
8619915028.8,1.060,5.27240e+00,5.91367e+03,1.07903e-12
8622356603.1,1.060,5.34211e+00,5.91770e+03,1.06435e-12
8624798177.5,1.060,5.41242e+00,5.92334e+03,1.04993e-12
8627239751.8,1.060,5.48376e+00,5.92742e+03,1.03568e-12
8629681326.2,1.061,5.55574e+00,5.93301e+03,1.02168e-12
8632122900.5,1.061,5.62877e+00,5.93715e+03,1.00786e-12
8634564474.9,1.061,5.70245e+00,5.94269e+03,9.94274e-13
8637006049.2,1.062,5.77719e+00,5.94687e+03,9.80856e-13
8639447623.6,1.062,5.85260e+00,5.95236e+03,9.67670e-13
8641889197.9,1.062,5.92909e+00,5.95659e+03,9.54647e-13
8644330772.3,1.063,6.00628e+00,5.96204e+03,9.41846e-13
8646772346.6,1.063,6.08455e+00,5.96632e+03,9.29205e-13
8649213921.0,1.063,6.16355e+00,5.97173e+03,9.16777e-13
8651655495.3,1.063,6.24365e+00,5.97605e+03,9.04506e-13
8654097069.7,1.064,6.32449e+00,5.98142e+03,8.92440e-13
8656538644.0,1.064,6.40645e+00,5.98579e+03,8.80526e-13
8658980218.4,1.064,6.48918e+00,5.99113e+03,8.68810e-13
8661421792.8,1.065,6.57303e+00,5.99554e+03,8.57243e-13
8663863367.1,1.065,6.65769e+00,6.00084e+03,8.45866e-13
8666304941.5,1.065,6.74348e+00,6.00529e+03,8.34634e-13
8668746515.8,1.066,6.83010e+00,6.01057e+03,8.23585e-13
8671188090.2,1.066,6.91787e+00,6.01506e+03,8.12678e-13
8673629664.5,1.066,7.00650e+00,6.02031e+03,8.01946e-13
8676071238.9,1.066,7.09629e+00,6.02485e+03,7.91353e-13
8678512813.2,1.067,7.18697e+00,6.03008e+03,7.80929e-13
8680954387.6,1.067,7.27882e+00,6.03465e+03,7.70641e-13
8683395961.9,1.067,7.37159e+00,6.03986e+03,7.60514e-13
8685837536.3,1.068,7.46555e+00,6.04448e+03,7.50520e-13
8688279110.6,1.068,7.56046e+00,6.04968e+03,7.40683e-13
8690720685.0,1.068,7.65657e+00,6.05434e+03,7.30974e-13
8693162259.3,1.069,7.75366e+00,6.05953e+03,7.21416e-13
