#Planet: 0.8000 Mjup, 1.5000 Rjup, 0.050 au 
#Star: 1.000 Msun, 1.778 Lsun 
#Spectrum: 1096 ergs/s/cm2, scaled-solar, [0.600,91.200] nm
#Tutorial example planet w/ 10xZ_solar H,He,C,O. Scaled solar spectrum.
r,r/Rp,v,T,rho,heat_ion
11289774266.2,1.053,1.22685e+00,1.53482e+03,2.15701e-11,5.69483e-70
11292764137.7,1.053,1.27948e+00,1.53471e+03,2.06719e-11,2.54828e-09
11295754009.2,1.053,1.33446e+00,1.53482e+03,1.98097e-11,1.38099e-09
11298743880.8,1.054,1.39164e+00,1.53471e+03,1.89857e-11,2.79228e-09
11301733752.3,1.054,1.45138e+00,1.53481e+03,1.81946e-11,1.81104e-09
11304723623.8,1.054,1.51350e+00,1.53471e+03,1.74387e-11,3.04846e-09
11307713495.4,1.054,1.57839e+00,1.53481e+03,1.67128e-11,2.19059e-09
11310703366.9,1.055,1.64587e+00,1.53470e+03,1.60191e-11,3.31724e-09
11313693238.4,1.055,1.71637e+00,1.53480e+03,1.53531e-11,2.55787e-09
11316683110.0,1.055,1.78966e+00,1.53470e+03,1.47165e-11,3.59911e-09
11319672981.5,1.056,1.86623e+00,1.53480e+03,1.41053e-11,2.92532e-09
11322662853.0,1.056,1.94584e+00,1.53470e+03,1.35210e-11,3.89446e-09
11325652724.6,1.056,2.02900e+00,1.53479e+03,1.29600e-11,3.29823e-09
11328642596.1,1.056,2.11545e+00,1.53469e+03,1.24238e-11,4.20320e-09
11331632467.6,1.057,2.20576e+00,1.53478e+03,1.19089e-11,3.67876e-09
11334622339.2,1.057,2.29964e+00,1.53469e+03,1.14167e-11,4.52464e-09
11337612210.7,1.057,2.39770e+00,1.53478e+03,1.09440e-11,4.06722e-09
11340602082.2,1.058,2.49964e+00,1.53468e+03,1.04921e-11,4.85735e-09
11343591953.8,1.058,2.60611e+00,1.53477e+03,1.00582e-11,4.46255e-09
11346581825.3,1.058,2.71679e+00,1.53468e+03,9.64332e-12,5.19922e-09
11349571696.8,1.058,2.83237e+00,1.53476e+03,9.24493e-12,4.86277e-09
11352561568.4,1.059,2.95254e+00,1.53468e+03,8.86400e-12,5.54767e-09
11355551439.9,1.059,3.07801e+00,1.53476e+03,8.49819e-12,5.26530e-09
11358541311.4,1.059,3.20845e+00,1.53467e+03,8.14839e-12,5.89987e-09
11361531183.0,1.059,3.34464e+00,1.53475e+03,7.81248e-12,5.66737e-09
11364521054.5,1.060,3.48624e+00,1.53467e+03,7.49124e-12,6.25311e-09
11367510926.0,1.060,3.63405e+00,1.53474e+03,7.18275e-12,6.06637e-09
11370500797.6,1.060,3.78773e+00,1.53466e+03,6.88771e-12,6.60504e-09
11373490669.1,1.061,3.94814e+00,1.53473e+03,6.60438e-12,6.46017e-09
11376480540.6,1.061,4.11492e+00,1.53466e+03,6.33337e-12,6.95392e-09
11379470412.2,1.061,4.28899e+00,1.53472e+03,6.07313e-12,6.84726e-09
11382460283.7,1.061,4.46998e+00,1.53465e+03,5.82417e-12,7.29866e-09
11385450155.2,1.062,4.65885e+00,1.53471e+03,5.58512e-12,7.22679e-09
11388440026.8,1.062,4.85523e+00,1.53465e+03,5.35640e-12,7.63879e-09
11391429898.3,1.062,5.06015e+00,1.53471e+03,5.13679e-12,7.59850e-09
11394419769.8,1.063,5.27322e+00,1.53464e+03,4.92664e-12,7.97428e-09
11397409641.4,1.063,5.49552e+00,1.53470e+03,4.72487e-12,7.96250e-09
11400399512.9,1.063,5.72668e+00,1.53463e+03,4.53177e-12,8.30531e-09
11403389384.4,1.063,5.96782e+00,1.53469e+03,4.34638e-12,8.31901e-09
11406379256.0,1.064,6.21858e+00,1.53463e+03,4.16893e-12,8.63202e-09
11409369127.5,1.064,6.48013e+00,1.53467e+03,3.99857e-12,8.66814e-09
11412358999.0,1.064,6.75212e+00,1.53462e+03,3.83548e-12,8.95429e-09
11415348870.6,1.064,7.03578e+00,1.53466e+03,3.67892e-12,9.00972e-09
11418338742.1,1.065,7.33079e+00,1.53461e+03,3.52902e-12,9.27158e-09
11421328613.6,1.065,7.63839e+00,1.53465e+03,3.38513e-12,9.34313e-09
11424318485.2,1.065,7.95833e+00,1.53461e+03,3.24734e-12,9.58294e-09
11427308356.7,1.066,8.29187e+00,1.53464e+03,3.11509e-12,9.66737e-09
11430298228.2,1.066,8.63881e+00,1.53460e+03,2.98842e-12,9.88701e-09
11433288099.8,1.066,9.00045e+00,1.53463e+03,2.86684e-12,9.98113e-09
11436277971.3,1.066,9.37664e+00,1.53459e+03,2.75039e-12,1.01822e-08
11439267842.8,1.067,9.76870e+00,1.53462e+03,2.63862e-12,1.02830e-08
11442257714.4,1.067,1.01766e+01,1.53458e+03,2.53155e-12,1.04668e-08
11445247585.9,1.067,1.06016e+01,1.53460e+03,2.42879e-12,1.05715e-08
11448237457.4,1.068,1.10437e+01,1.53457e+03,2.33033e-12,1.07395e-08
11451227329.0,1.068,1.15044e+01,1.53459e+03,2.23585e-12,1.08459e-08
11454217200.5,1.068,1.19837e+01,1.53456e+03,2.14531e-12,1.09995e-08
11457207072.0,1.068,1.24830e+01,1.53458e+03,2.05842e-12,1.11058e-08
11460196943.6,1.069,1.30024e+01,1.53455e+03,1.97515e-12,1.12468e-08
11463186815.1,1.069,1.35435e+01,1.53456e+03,1.89525e-12,1.13523e-08
11466176686.6,1.069,1.41065e+01,1.53454e+03,1.81867e-12,1.14827e-08
11469166558.2,1.070,1.46928e+01,1.53455e+03,1.74518e-12,1.15873e-08
11472156429.7,1.070,1.53029e+01,1.53453e+03,1.67474e-12,1.17100e-08
11475146301.2,1.070,1.59381e+01,1.53453e+03,1.60715e-12,1.18149e-08
11478136172.8,1.070,1.65991e+01,1.53451e+03,1.54234e-12,1.19333e-08
11481126044.3,1.071,1.72873e+01,1.53452e+03,1.48017e-12,1.20407e-08
11484115915.8,1.071,1.80034e+01,1.53450e+03,1.42056e-12,1.21591e-08
11487105787.4,1.071,1.87489e+01,1.53450e+03,1.36336e-12,1.22724e-08
11490095658.9,1.071,1.95246e+01,1.53449e+03,1.30851e-12,1.23960e-08
11493085530.4,1.072,2.03321e+01,1.53449e+03,1.25589e-12,1.25199e-08
11496075402.0,1.072,2.11722e+01,1.53447e+03,1.20543e-12,1.26547e-08
11499065273.5,1.072,2.20467e+01,1.53447e+03,1.15702e-12,1.27949e-08
11502055145.0,1.073,2.29565e+01,1.53446e+03,1.11059e-12,1.29480e-08
11505045016.6,1.073,2.39033e+01,1.53446e+03,1.06604e-12,1.31112e-08
11508034888.1,1.073,2.48884e+01,1.53446e+03,1.02331e-12,1.32901e-08
11511024759.6,1.073,2.59134e+01,1.53446e+03,9.82325e-13,1.34838e-08
11514014631.2,1.074,2.69798e+01,1.53445e+03,9.43008e-13,1.36964e-08
11517004502.7,1.074,2.80893e+01,1.53446e+03,9.05291e-13,1.39284e-08
11519994374.2,1.074,2.92434e+01,1.53446e+03,8.69112e-13,1.41828e-08
11522984245.8,1.075,3.04439e+01,1.53447e+03,8.34405e-13,1.44607e-08
11525974117.3,1.075,3.16926e+01,1.53447e+03,8.01113e-13,1.47645e-08
11528963988.8,1.075,3.29914e+01,1.53449e+03,7.69177e-13,1.50953e-08
11531953860.4,1.075,3.43420e+01,1.53450e+03,7.38544e-13,1.54552e-08
11534943731.9,1.076,3.57463e+01,1.53452e+03,7.09161e-13,1.58451e-08
11537933603.4,1.076,3.72065e+01,1.53455e+03,6.80977e-13,1.62664e-08
11540923475.0,1.076,3.87243e+01,1.53458e+03,6.53946e-13,1.67199e-08
11543913346.5,1.076,4.03019e+01,1.53462e+03,6.28022e-13,1.72063e-08
11546903218.0,1.077,4.19413e+01,1.53466e+03,6.03162e-13,1.77260e-08
11549893089.6,1.077,4.36445e+01,1.53472e+03,5.79323e-13,1.82792e-08
11552882961.1,1.077,4.54136e+01,1.53478e+03,5.56468e-13,1.88658e-08
11555872832.6,1.078,4.72505e+01,1.53485e+03,5.34557e-13,1.94855e-08
11558862704.2,1.078,4.91573e+01,1.53493e+03,5.13557e-13,2.01377e-08
11561852575.7,1.078,5.11356e+01,1.53502e+03,4.93432e-13,2.08216e-08
11564842447.2,1.078,5.31874e+01,1.53512e+03,4.74152e-13,2.15364e-08
11567832318.8,1.079,5.53142e+01,1.53524e+03,4.55686e-13,2.22808e-08
11570822190.3,1.079,5.75173e+01,1.53538e+03,4.38005e-13,2.30538e-08
11573812061.8,1.079,5.97978e+01,1.53553e+03,4.21083e-13,2.38540e-08
11576801933.4,1.080,6.21566e+01,1.53569e+03,4.04894e-13,2.46803e-08
11579791804.9,1.080,6.45942e+01,1.53588e+03,3.89414e-13,2.55313e-08
11582781676.4,1.080,6.71104e+01,1.53610e+03,3.74620e-13,2.64061e-08
11585771548.0,1.080,6.97047e+01,1.53634e+03,3.60490e-13,2.73037e-08
11588761419.5,1.081,7.23761e+01,1.53661e+03,3.47005e-13,2.82233e-08
11591751291.0,1.081,7.51229e+01,1.53692e+03,3.34145e-13,2.91645e-08
11594741162.6,1.081,7.79427e+01,1.53727e+03,3.21890e-13,3.01272e-08
11597731034.1,1.081,8.08326e+01,1.53767e+03,3.10222e-13,3.11114e-08
11600720905.6,1.082,8.37891e+01,1.53814e+03,2.99122e-13,3.21176e-08
11603710777.2,1.082,8.68079e+01,1.53867e+03,2.88571e-13,3.31466e-08
11606700648.7,1.082,8.98846e+01,1.53929e+03,2.78549e-13,3.41995e-08
11609690520.2,1.083,9.30145e+01,1.54002e+03,2.69038e-13,3.52776e-08
11612680391.8,1.083,9.61929e+01,1.54087e+03,2.60014e-13,3.63823e-08
11615670263.3,1.083,9.94152e+01,1.54188e+03,2.51457e-13,3.75152e-08
11618660134.8,1.083,1.02678e+02,1.54307e+03,2.43342e-13,3.86778e-08
11621650006.4,1.084,1.05978e+02,1.54449e+03,2.35644e-13,3.98713e-08
11624639877.9,1.084,1.09313e+02,1.54618e+03,2.28336e-13,4.10966e-08
11627629749.4,1.084,1.12684e+02,1.54822e+03,2.21391e-13,4.23543e-08
11630619621.0,1.085,1.16094e+02,1.55066e+03,2.14779e-13,4.36441e-08
11633609492.5,1.085,1.19546e+02,1.55360e+03,2.08469e-13,4.49648e-08
11636599364.0,1.085,1.23048e+02,1.55715e+03,2.02431e-13,4.63140e-08
11639589235.6,1.085,1.26612e+02,1.56144e+03,1.96632e-13,4.76883e-08
11642579107.1,1.086,1.30252e+02,1.56662e+03,1.91038e-13,4.90823e-08
11645568978.6,1.086,1.33988e+02,1.57286e+03,1.85617e-13,5.04889e-08
11648558850.2,1.086,1.37842e+02,1.58039e+03,1.80334e-13,5.18992e-08
11651548721.7,1.087,1.41843e+02,1.58943e+03,1.75158e-13,5.33020e-08
11654538593.2,1.087,1.46023e+02,1.60024e+03,1.70057e-13,5.46841e-08
11657528464.8,1.087,1.50416e+02,1.61309e+03,1.65005e-13,5.60310e-08
11660518336.3,1.087,1.55060e+02,1.62822e+03,1.59981e-13,5.73274e-08
11663508207.8,1.088,1.59989e+02,1.64584e+03,1.54973e-13,5.85588e-08
11666498079.4,1.088,1.65229e+02,1.66606e+03,1.49981e-13,5.97132e-08
11669487950.9,1.088,1.70800e+02,1.68889e+03,1.45015e-13,6.07829e-08
11672477822.4,1.088,1.76703e+02,1.71420e+03,1.40099e-13,6.17653e-08
11675467694.0,1.089,1.82928e+02,1.74173e+03,1.35262e-13,6.26635e-08
11678457565.5,1.089,1.89452e+02,1.77112e+03,1.30537e-13,6.34847e-08
11681447437.0,1.089,1.96247e+02,1.80203e+03,1.25953e-13,6.42381e-08
11684437308.6,1.090,2.03284e+02,1.83410e+03,1.21531e-13,6.49331e-08
11687427180.1,1.090,2.10538e+02,1.86706e+03,1.17283e-13,6.55776e-08
11690417051.6,1.090,2.17992e+02,1.90071e+03,1.13215e-13,6.61776e-08
11693406923.2,1.090,2.25632e+02,1.93493e+03,1.09325e-13,6.67376e-08
11696396794.7,1.091,2.33451e+02,1.96961e+03,1.05610e-13,6.72604e-08
11699386666.2,1.091,2.41442e+02,2.00471e+03,1.02062e-13,6.77481e-08
11702376537.8,1.091,2.49604e+02,2.04019e+03,9.86743e-14,6.82023e-08
11705366409.3,1.092,2.57933e+02,2.07601e+03,9.54393e-14,6.86245e-08
11708356280.8,1.092,2.66426e+02,2.11216e+03,9.23495e-14,6.90159e-08
