List number,Z,N_electrons,Atomic Mass,Name
1,1,1,1.67353377896938795e-24,HI
2,2,2,5.00823733035387987e-24,HeI
3,2,1,5.00823733035387987e-24,HeII
4,3,3,9.98835216376059965e-24,LiI
5,3,2,9.98835216376059965e-24,LiII
6,3,1,9.98835216376059965e-24,LiIII
7,4,4,1.49650905248739999e-23,BeI
8,4,3,1.49650905248739999e-23,BeII
9,4,2,1.49650905248739999e-23,BeIII
10,4,1,1.49650905248739999e-23,BeIV
11,5,5,1.66268822399260020e-23,BI
12,5,4,1.66268822399260020e-23,BII
13,5,3,1.66268822399260020e-23,BIII
14,5,2,1.66268822399260020e-23,BIV
15,5,1,1.66268822399260020e-23,BV
16,6,6,1.99264800000000004e-23,CI
17,6,5,1.99264800000000004e-23,CII
18,6,4,1.99264800000000004e-23,CIII
19,6,3,1.99264800000000004e-23,CIV
20,6,2,1.99264800000000004e-23,CV
21,6,1,1.99264800000000004e-23,CVI
22,7,7,2.32526645066021578e-23,NI
23,7,6,2.32526645066021578e-23,NII
24,7,5,2.32526645066021578e-23,NIII
25,7,4,2.32526645066021578e-23,NIV
26,7,3,2.32526645066021578e-23,NV
27,7,2,2.32526645066021578e-23,NVI
28,7,1,2.32526645066021578e-23,NVII
29,8,8,2.65601955214342619e-23,OI
30,8,7,2.65601955214342619e-23,OII
31,8,6,2.65601955214342619e-23,OIII
32,8,5,2.65601955214342619e-23,OIV
33,8,4,2.65601955214342619e-23,OV
34,8,3,2.65601955214342619e-23,OVI
35,8,2,2.65601955214342619e-23,OVII
36,8,1,2.65601955214342619e-23,OVIII
37,9,9,3.15476083882880137e-23,FI
38,9,8,3.15476083882880137e-23,FII
39,9,7,3.15476083882880137e-23,FIII
40,9,6,3.15476083882880137e-23,FIV
41,9,5,3.15476083882880137e-23,FV
42,9,4,3.15476083882880137e-23,FVI
43,9,3,3.15476083882880137e-23,FVII
44,9,2,3.15476083882880137e-23,FVIII
45,9,1,3.15476083882880137e-23,FIX
46,10,10,3.31982466164971939e-23,NeI
47,10,9,3.31982466164971939e-23,NeII
48,10,8,3.31982466164971939e-23,NeIII
49,10,7,3.31982466164971939e-23,NeIV
50,10,6,3.31982466164971939e-23,NeV
51,10,5,3.31982466164971939e-23,NeVI
52,10,4,3.31982466164971939e-23,NeVII
53,10,3,3.31982466164971939e-23,NeVIII
54,10,2,3.31982466164971939e-23,NeIX
55,10,1,3.31982466164971939e-23,NeX
56,11,11,3.81754314802111985e-23,NaI
57,11,10,3.81754314802111985e-23,NaII
58,11,9,3.81754314802111985e-23,NaIII
59,11,8,3.81754314802111985e-23,NaIV
60,11,7,3.81754314802111985e-23,NaV
61,11,6,3.81754314802111985e-23,NaVI
62,11,5,3.81754314802111985e-23,NaVII
63,11,4,3.81754314802111985e-23,NaVIII
64,11,3,3.81754314802111985e-23,NaIX
65,11,2,3.81754314802111985e-23,NaX
66,11,1,3.81754314802111985e-23,NaXI
67,12,12,3.98281211445179951e-23,MgI
68,12,11,3.98281211445179951e-23,MgII
69,12,10,3.98281211445179951e-23,MgIII
70,12,9,3.98281211445179951e-23,MgIV
71,12,8,3.98281211445179951e-23,MgV
72,12,7,3.98281211445179951e-23,MgVI
73,12,6,3.98281211445179951e-23,MgVII
74,12,5,3.98281211445179951e-23,MgVIII
75,12,4,3.98281211445179951e-23,MgIX
76,12,3,3.98281211445179951e-23,MgX
77,12,2,3.98281211445179951e-23,MgXI
78,12,1,3.98281211445179951e-23,MgXII
79,13,13,4.48039237747359888e-23,AlI
80,13,12,4.48039237747359888e-23,AlII
81,13,11,4.48039237747359888e-23,AlIII
82,13,10,4.48039237747359888e-23,AlIV
83,13,9,4.48039237747359888e-23,AlV
84,13,8,4.48039237747359888e-23,AlVI
85,13,7,4.48039237747359888e-23,AlVII
86,13,6,4.48039237747359888e-23,AlVIII
87,13,5,4.48039237747359888e-23,AlIX
88,13,4,4.48039237747359888e-23,AlX
89,13,3,4.48039237747359888e-23,AlXI
90,13,2,4.48039237747359888e-23,AlXII
91,13,1,4.48039237747359888e-23,AlXIII
92,14,14,4.64568055884288957e-23,SiI
93,14,13,4.64568055884288957e-23,SiII
94,14,12,4.64568055884288957e-23,SiIII
95,14,11,4.64568055884288957e-23,SiIV
96,14,10,4.64568055884288957e-23,SiV
97,14,9,4.64568055884288957e-23,SiVI
98,14,8,4.64568055884288957e-23,SiVII
99,14,7,4.64568055884288957e-23,SiVIII
100,14,6,4.64568055884288957e-23,SiIX
101,14,5,4.64568055884288957e-23,SiX
102,14,4,4.64568055884288957e-23,SiXI
103,14,3,4.64568055884288957e-23,SiXII
104,14,2,4.64568055884288957e-23,SiXIII
105,14,1,4.64568055884288957e-23,SiXIV
106,16,16,5.30909030672739513e-23,SI
107,16,15,5.30909030672739513e-23,SII
108,16,14,5.30909030672739513e-23,SIII
109,16,13,5.30909030672739513e-23,SIV
110,16,12,5.30909030672739513e-23,SV
111,16,11,5.30909030672739513e-23,SVI
112,16,10,5.30909030672739513e-23,SVII
113,16,9,5.30909030672739513e-23,SVIII
114,16,8,5.30909030672739513e-23,SIX
115,16,7,5.30909030672739513e-23,SX
116,16,6,5.30909030672739513e-23,SXI
117,16,5,5.30909030672739513e-23,SXII
118,16,4,5.30909030672739513e-23,SXIII
119,16,3,5.30909030672739513e-23,SXIV
120,16,2,5.30909030672739513e-23,SXV
121,16,1,5.30909030672739513e-23,SXVI
122,18,18,5.97255473403539994e-23,ArI
123,18,17,5.97255473403539994e-23,ArII
124,18,16,5.97255473403539994e-23,ArIII
125,18,15,5.97255473403539994e-23,ArIV
126,18,14,5.97255473403539994e-23,ArV
127,18,13,5.97255473403539994e-23,ArVI
128,18,12,5.97255473403539994e-23,ArVII
129,18,11,5.97255473403539994e-23,ArVIII
130,18,10,5.97255473403539994e-23,ArIX
131,18,9,5.97255473403539994e-23,ArX
132,18,8,5.97255473403539994e-23,ArXI
133,18,7,5.97255473403539994e-23,ArXII
134,18,6,5.97255473403539994e-23,ArXIII
135,18,5,5.97255473403539994e-23,ArXIV
136,18,4,5.97255473403539994e-23,ArXV
137,18,3,5.97255473403539994e-23,ArXVI
138,18,2,5.97255473403539994e-23,ArXVII
139,18,1,5.97255473403539994e-23,ArXVIII
140,20,20,6.63594806930859938e-23,CaI
141,20,19,6.63594806930859938e-23,CaII
142,20,18,6.63594806930859938e-23,CaIII
