#Planet: 0.8000 Mjup, 1.5000 Rjup, 0.050 au 
#Star: 1.000 Msun, 1.778 Lsun 
#Spectrum: 1096 ergs/s/cm2, scaled-solar, [0.620,91.165] nm
#Tutorial example planet w/ 10xZ_solar H,He,C,O. Scaled solar spectrum.
r,r/Rp,v,T,rho,heat_ion
11288377623.8,1.053,1.18685e+00,1.53482e+03,2.24580e-11,1.95865e-73
11291370418.6,1.053,1.23797e+00,1.53471e+03,2.15192e-11,1.26265e-09
11294363213.5,1.053,1.29112e+00,1.53482e+03,2.06224e-11,7.73629e-10
11297356008.4,1.053,1.34666e+00,1.53471e+03,1.97615e-11,1.40944e-09
11300348803.3,1.054,1.40441e+00,1.53481e+03,1.89388e-11,1.02908e-09
11303341598.1,1.054,1.46473e+00,1.53470e+03,1.81493e-11,1.57089e-09
11306334393.0,1.054,1.52747e+00,1.53481e+03,1.73946e-11,1.26336e-09
11309327187.9,1.055,1.59298e+00,1.53470e+03,1.66704e-11,1.74804e-09
11312319982.7,1.055,1.66114e+00,1.53480e+03,1.59779e-11,1.49789e-09
11315312777.6,1.055,1.73227e+00,1.53469e+03,1.53137e-11,1.94180e-09
11318305572.5,1.055,1.80630e+00,1.53480e+03,1.46783e-11,1.73984e-09
11321298367.3,1.056,1.88354e+00,1.53468e+03,1.40690e-11,2.15267e-09
11324291162.2,1.056,1.96394e+00,1.53479e+03,1.34859e-11,1.99232e-09
11327283957.1,1.056,2.04779e+00,1.53468e+03,1.29268e-11,2.38066e-09
11330276751.9,1.057,2.13510e+00,1.53479e+03,1.23917e-11,2.25653e-09
11333269546.8,1.057,2.22611e+00,1.53467e+03,1.18788e-11,2.62503e-09
11336262341.7,1.057,2.32090e+00,1.53478e+03,1.13876e-11,2.53248e-09
11339255136.6,1.057,2.41968e+00,1.53466e+03,1.09170e-11,2.88437e-09
11342247931.4,1.058,2.52258e+00,1.53478e+03,1.04661e-11,2.81918e-09
11345240726.3,1.058,2.62977e+00,1.53466e+03,1.00342e-11,3.15657e-09
11348233521.2,1.058,2.74146e+00,1.53477e+03,9.62032e-12,3.11491e-09
11351226316.0,1.059,2.85777e+00,1.53465e+03,9.22392e-12,3.43900e-09
11354219110.9,1.059,2.97898e+00,1.53476e+03,8.84396e-12,3.41741e-09
11357211905.8,1.059,3.10515e+00,1.53464e+03,8.48012e-12,3.72868e-09
11360204700.6,1.059,3.23666e+00,1.53475e+03,8.13126e-12,3.72412e-09
11363197495.5,1.060,3.37352e+00,1.53464e+03,7.79728e-12,4.02258e-09
11366190290.4,1.060,3.51620e+00,1.53474e+03,7.47696e-12,4.03245e-09
11369183085.2,1.060,3.66462e+00,1.53463e+03,7.17035e-12,4.31786e-09
11372175880.1,1.060,3.81937e+00,1.53473e+03,6.87621e-12,4.34000e-09
11375168675.0,1.061,3.98031e+00,1.53462e+03,6.59470e-12,4.61202e-09
11378161469.9,1.061,4.14812e+00,1.53472e+03,6.32458e-12,4.64477e-09
11381154264.7,1.061,4.32260e+00,1.53461e+03,6.06610e-12,4.90314e-09
11384147059.6,1.062,4.50454e+00,1.53471e+03,5.81802e-12,4.94519e-09
11387139854.5,1.062,4.69367e+00,1.53460e+03,5.58066e-12,5.18979e-09
11390132649.3,1.062,4.89089e+00,1.53470e+03,5.35281e-12,5.24019e-09
11393125444.2,1.062,5.09584e+00,1.53460e+03,5.13482e-12,5.47107e-09
11396118239.1,1.063,5.30957e+00,1.53469e+03,4.92554e-12,5.52905e-09
11399111033.9,1.063,5.53164e+00,1.53459e+03,4.72532e-12,5.74643e-09
11402103828.8,1.063,5.76320e+00,1.53467e+03,4.53308e-12,5.81133e-09
11405096623.7,1.064,6.00375e+00,1.53458e+03,4.34917e-12,6.01550e-09
