Species,Z,Ne,ion_pot
HI,1,1,2.178961e-11
HeI,2,2,3.939754e-11
HeII,2,1,8.719048e-11
LiI,3,3,8.638939e-12
LiII,3,2,1.211887e-10
LiIII,3,1,1.962667e-10
BeI,4,4,1.49371e-11
BeII,4,3,2.917565e-11
BeIII,4,2,2.465751e-10
BeIV,4,1,3.48794e-10
BI,5,5,1.329487e-11
BII,5,4,4.031078e-11
BIII,5,3,6.077058e-11
BIV,5,2,4.156048e-10
BV,5,1,5.450607e-10
CI,6,6,1.804052e-11
CII,6,5,3.906108e-11
CIII,6,4,7.672827e-11
CIV,6,3,1.033244e-10
CV,6,2,6.282137e-10
CVI,6,1,7.850668e-10
NI,7,7,2.327963e-11
NII,7,6,4.742445e-11
NIII,7,5,7.602331e-11
NIV,7,4,1.241207e-10
NV,7,3,1.568371e-10
NVI,7,2,8.84562e-10
NVII,7,1,1.068812e-09
OI,8,8,2.182165e-11
OII,8,7,5.626846e-11
OIII,8,6,8.802362e-11
OIV,8,5,1.240245e-10
OV,8,4,1.82488e-10
OVI,8,3,2.212607e-10
OVII,8,2,1.18449e-09
OVIII,8,1,1.396137e-09
FI,9,9,2.790993e-11
FII,9,8,5.602814e-11
FIII,9,7,1.004725e-10
FIV,9,6,1.396137e-10
FV,9,5,1.829686e-10
FVI,9,4,2.518623e-10
FVII,9,3,2.967232e-10
FVIII,9,2,1.528317e-09
FIX,9,1,1.767201e-09
NeI,10,10,3.454294e-11
NeII,10,9,6.562518e-11
NeIII,10,8,1.016742e-10
NeIV,10,7,1.556034e-10
NeV,10,6,2.021948e-10
NeVI,10,5,2.529838e-10
NeVII,10,4,3.321313e-10
NeVIII,10,3,3.830806e-10
NeIX,10,2,1.916204e-09
NeX,10,1,2.182165e-09
NaI,11,11,8.233589e-12
NaII,11,10,7.576696e-11
NaIII,11,9,1.147479e-10
NaIV,11,8,1.584874e-10
NaV,11,7,2.217413e-10
NaVI,11,6,2.758949e-10
NaVII,11,5,3.340539e-10
NaVIII,11,4,4.232952e-10
NaIX,11,3,4.804929e-10
NaX,11,2,2.34719e-09
NaXI,11,1,2.64199e-09
MgI,12,12,1.225025e-11
MgII,12,11,2.409675e-11
MgIII,12,10,1.283985e-10
MgIV,12,9,1.75118e-10
MgV,12,8,2.263876e-10
MgVI,12,7,2.98806e-10
MgVII,12,6,3.603297e-10
MgVIII,12,5,4.261791e-10
MgIX,12,4,5.258346e-10
MgX,12,3,5.888001e-10
MgXI,12,2,2.823036e-09
MgXII,12,1,3.145074e-09
AlI,13,13,9.590633e-12
AlII,13,12,3.0169e-11
AlIII,13,11,4.558194e-11
AlIV,13,10,1.922613e-10
AlV,13,9,2.464149e-10
AlVI,13,8,3.052148e-10
AlVII,13,7,3.867656e-10
AlVIII,13,6,4.559796e-10
AlIX,13,5,5.288787e-10
AlX,13,4,6.399096e-10
AlXI,13,3,7.083225e-10
AlXII,13,2,3.342142e-09
AlXIII,13,1,3.691416e-09
SiI,14,14,1.306095e-11
SiII,14,13,2.61956e-11
SiIII,14,12,5.365691e-11
SiIV,14,11,7.232228e-11
SiV,14,10,2.672432e-10
SiVI,14,9,3.286065e-10
SiVII,14,8,3.949367e-10
SiVIII,14,7,4.857801e-10
SiIX,14,6,5.625244e-10
SiX,14,5,6.431139e-10
SiXI,14,4,7.627966e-10
SiXII,14,3,8.387398e-10
SiXIII,14,2,3.906108e-09
SiXIV,14,1,4.28262e-09
SI,16,16,1.659856e-11
SII,16,15,3.737879e-11
SIII,16,14,5.580383e-11
SIV,16,13,7.5799e-11
SV,16,12,1.164462e-10
SVI,16,11,1.410717e-10
SVII,16,10,4.500516e-10
SVIII,16,9,5.258346e-10
SIX,16,8,6.073854e-10
SX,16,7,7.163334e-10
SXI,16,6,8.087791e-10
SXII,16,5,9.047495e-10
SXIII,16,4,1.044139e-09
SXIV,16,3,1.13306e-09
SXV,16,2,5.165419e-09
SXVI,16,1,5.598007e-09
ArI,18,18,2.525031e-11
ArII,18,17,4.426816e-11
ArIII,18,16,6.52727e-11
ArIV,18,15,9.582622e-11
ArV,18,14,1.201953e-10
ArVI,18,13,1.458141e-10
ArVII,18,12,1.991506e-10
ArVIII,18,11,2.299124e-10
ArIX,18,10,6.769199e-10
ArX,18,9,7.669622e-10
ArXI,18,8,8.635735e-10
ArXII,18,7,9.906262e-10
ArXIII,18,6,1.099254e-09
ArXIV,18,5,1.210926e-09
ArXV,18,4,1.369541e-09
ArXVI,18,3,1.470799e-09
ArXVII,18,2,6.602572e-09
ArXVIII,18,1,7.091236e-09
CaI,20,20,9.794109e-12
CaII,20,19,1.901784e-11
CaIII,20,18,8.156684e-11
CaIV,20,17,1.077785e-10
CaV,20,16,1.354e-10
CaVI,20,15,1.743169e-10
CaVII,20,14,2.037969e-10
CaVIII,20,13,2.358405e-10
CaIX,20,12,3.0169e-10
CaX,20,11,3.3854e-10
CaXI,20,10,9.483287e-10
CaXII,20,9,1.052951e-09
CaXIII,20,8,1.164302e-09
CaXIV,20,7,1.3101e-09
CaXV,20,6,1.433308e-09
CaXVI,20,5,1.561322e-09
CaXVII,20,4,1.741567e-09
CaXVIII,20,3,1.853719e-09
CaXIX,20,2,8.217567e-09
CaXX,20,1,8.763909e-09
FeI,26,26,1.26604e-11
FeII,26,25,2.593925e-11
FeIII,26,24,4.910673e-11
FeIV,26,23,8.779931e-11
FeV,26,22,1.201793e-10
FeVI,26,21,1.587117e-10
FeVII,26,20,2.002721e-10
FeVIII,26,19,2.42089e-10
FeIX,26,18,3.742686e-10
FeX,26,17,4.199306e-10
FeXI,26,16,4.649518e-10
FeXII,26,15,5.300002e-10
FeXIII,26,14,5.78386e-10
FeXIV,26,13,6.283739e-10
FeXV,26,12,7.32195e-10
FeXVI,26,11,7.839453e-10
FeXVII,26,10,2.021948e-09
FeXVIII,26,9,2.175757e-09
FeXIX,26,8,2.33277e-09
FeXX,26,7,2.534644e-09
FeXXI,26,6,2.706077e-09
FeXXII,26,5,2.882317e-09
FeXXIII,26,4,3.124246e-09
FeXXIV,26,3,3.278055e-09
FeXXV,26,2,1.414562e-08
FeXXVI,26,1,1.4865e-08
