#First 4 lines are OII, 2nd 4 are OIII, 3rd 3 are CII, 4th 2 are CIII
#Line (Angstroms), A is in units s.t. cooling rate is per unit volume in cgs, T_line (K), n_c (number density) (cm-3) 
Species Line A T_line n_c
OII 834 5.78622E-4 172421.6 1.32174E15
OII 2741 3.81198E-13 58225.3 4.48777E7
OII 3727 4.29901E-16 38575.0 5.36461E3
OII 7320 3.76929E-13 53063.6 3.11018E7
OIII 520000 3.13852E-18 277.682 2.5493E3
OIII 5000 3.386678E-14 28728.6 9.66741E5
OIII 166 6.59979E-10 86632.4 1.475889E10
OIII 83.5 1.75205E3 172569.7 5.405937E21
CII 1570000 1.78292054E-20 91.2 1.38779668E+01
CII 2326 1.21471023E-10 61853.9 1.20977633e+09
CII 1334 2.41304508E-03 107718.1 3.74008770E+15
CIII 1910 3.84223024E-10 75460.8 1.31478953E+9
CIII 977 1.79050834E-03 147263.9 7.17164800E+14
FeII 259882 4.0837017199e-17 10.0 5.0111242417e+03
FeII 353490 1.2502410641e-17 215.3 6.8831774341e+03
FeII 2600 8.5118120195e-03 60382.7 7.5382709610e+14
MgII 2796 5.2965317292e-03 51406.5 7.6259952577e+14
CaII 7293 5.9145523938e-12 18909.7 3.7958804848e+06
CaII 3934 1.7086843162e-03 36565.7 1.9178056462e+14
CaII 1850 3.0859121378e-03 78193.3 1.2078007827e+17
CaII 8544 3.4763268543e-05 35474.8 1.6365416716e+14
NeIII 155545 2.3819586345e-16 485.8 8.6937308240e+04
NeIII 360230 6.6087540274e-18 895.1 2.5260012479e+04
NeIII 3869 1.1398755029e-13 31098.7 8.3787136965e+06
